Month,Falls within,Crime type,Last outcome category
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
2026-02,West Yorkshire Police,Violence and sexual offences,Under investigation
